epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
20,0.9826998710632324,0.132868692278862,0.9995124340057373,0.9937153458595276,0.9820972084999084,0.9987394213676453,0.9690831303596497,0.17106106877326965,0.9990004897117615,0.9907833933830261,0.9655688405036926,0.9973524808883667,6.25000029685907e-05
21,0.9834862351417542,0.1321917176246643,0.9995107650756836,0.9937223196029663,0.9831932783126831,0.9986948370933533,0.9776119589805603,0.1573711484670639,0.9991607666015625,0.9722627997398376,0.9970059990882874,0.9978681206703186,6.25000029685907e-05
22,0.9887287020683289,0.12093386054039001,0.9997066855430603,0.9966813921928406,0.9875776171684265,0.9991949200630188,0.9744136333465576,0.15970095992088318,0.9989842772483826,0.9923547506332397,0.9715569019317627,0.9973108768463135,3.125000148429535e-05
23,0.9916120767593384,0.1141897663474083,0.9997718334197998,0.9985256195068359,0.9897698163986206,0.9993590712547302,0.9786780476570129,0.1523272693157196,0.9988658428192139,0.985029935836792,0.985029935836792,0.9969948530197144,3.125000148429535e-05
24,0.9887287020683289,0.11699964106082916,0.9997093081474304,0.9977827072143555,0.9864815473556519,0.9992011785507202,0.9765458703041077,0.15002897381782532,0.9991011619567871,0.9879153966903687,0.9790419340133667,0.9977655410766602,1.5625000742147677e-05
25,0.988990843296051,0.11790448427200317,0.9997186064720154,0.9977835416793823,0.986846923828125,0.9992284178733826,0.9754797220230103,0.1455092579126358,0.9991241693496704,0.9835082292556763,0.9820359349250793,0.9978070855140686,1.5625000742147677e-05
26,0.9892529249191284,0.11862803250551224,0.9997214674949646,0.9963181018829346,0.988673746585846,0.9992647171020508,0.9712153673171997,0.16243161261081696,0.9990195035934448,0.9923195242881775,0.9670658707618713,0.9973995685577393,7.812500371073838e-06
27,0.9905635714530945,0.11353790014982224,0.9998274445533752,0.9970555901527405,0.9897698163986206,0.9995534420013428,0.9765458703041077,0.15040510892868042,0.9991758465766907,0.989393949508667,0.977544903755188,0.9979403018951416,7.812500371073838e-06
28,0.9903014302253723,0.11307474970817566,0.9998247623443604,0.9970545172691345,0.9894044399261475,0.9995407462120056,0.9754797220230103,0.15477915108203888,0.9989587664604187,0.9893778562545776,0.976047933101654,0.9972333908081055,7.812500371073838e-06
29,0.9892529249191284,0.11589421331882477,0.9997037649154663,0.9963181018829346,0.988673746585846,0.9991398453712463,0.968017041683197,0.17703372240066528,0.998557984828949,0.9953415989875793,0.9595808386802673,0.9959302544593811,7.812500371073838e-06
30,0.9913499355316162,0.11323216557502747,0.999782383441925,0.9981576800346375,0.9897698163986206,0.9994244575500488,0.9712153673171997,0.1663326472043991,0.9989491701126099,0.9938367009162903,0.9655688405036926,0.9972277283668518,3.906250185536919e-06
